		1996		1997		1998		1999		2000		2001		2002		2003		2004		2005		2006		2007		2008		2009		2010		2011		2012		2013		2014		2015	
13-Jul	93	0.0	86.0	0.0	88.0	0.0	73.0	2.4	91.0	0.0	86.0	0.0	82.0	0.0	87.0	0.0	91.0	0.0	84.0	0.0	91.0	0.0	86.0	0.0	85.0	0.0	84.0	0.0	91.0	0.0	97.0	0.0	90.0	0.0	78.0	0.0	89.0	0.0	92.0	0.0	
14-Jul	93	0.0	90.0	0.0	87.0	0.0	81.0	0.0	93.0	0.0	82.0	0.0	88.0	0.0	84.0	0.0	91.0	0.0	87.0	0.0	91.0	0.0	84.0	0.0	88.0	0.0	89.0	0.0	91.0	0.0	90.0	0.0	90.0	0.0	85.0	0.0	90.0	0.0	90.0	0.0	
15-Jul	82	0.0	91.0	0.0	91.0	0.0	81.0	0.0	93.0	0.0	82.0	0.0	91.0	0.0	86.0	0.0	84.0	0.0	84.0	0.0	91.0	0.0	81.0	0.0	89.0	0.0	89.0	0.0	94.0	0.0	80.0	0.0	90.0	0.0	86.0	0.0	86.0	0.0	89.0	0.0	
16-Jul	91	0.0	91.0	0.0	87.0	0.0	86.0	0.0	93.0	0.0	84.0	0.0	93.0	0.0	88.0	0.0	84.0	0.0	85.0	0.0	91.0	0.0	86.0	0.0	89.0	0.0	90.0	0.0	89.0	0.0	85.0	0.0	92.0	0.0	87.0	0.0	83.0	0.0	88.0	0.0	
17-Jul	96	0.0	89.0	0.0	90.0	0.0	82.0	0.0	91.0	0.0	87.0	0.0	93.0	0.0	88.0	0.0	84.0	0.0	89.0	0.0	93.0	0.0	89.0	0.0	88.0	0.0	88.0	0.0	87.0	0.0	87.0	0.0	93.0	0.0	91.0	0.0	86.0	0.0	93.0	0.0	
18-Jul	95	0.0	89.0	0.0	91.0	0.0	87.0	0.0	97.0	0.0	88.0	0.0	93.0	0.0	88.0	0.0	87.0	0.0	90.0	0.0	93.0	0.0	89.0	0.0	90.0	0.0	82.0	0.0	83.0	0.0	89.0	0.0	93.0	0.0	87.0	0.0	82.0	0.0	92.0	0.0	
19-Jul	96	0.0	89.0	0.0	95.0	0.0	88.0	0.0	100.0	0.0	90.0	0.0	93.0	0.0	88.0	0.0	84.0	0.0	89.0	0.0	96.0	0.0	88.0	0.0	91.0	0.0	80.0	0.0	90.0	0.0	94.0	0.0	91.0	0.0	90.0	0.0	85.0	0.0	91.0	0.0	
20-Jul	99	0.0	90.0	0.0	91.0	0.0	90.0	0.0	99.0	0.0	87.0	0.0	91.0	0.0	88.0	0.0	88.0	0.0	89.0	0.0	93.0	0.0	86.0	0.0	94.0	0.0	82.0	0.0	91.0	0.0	91.0	0.0	84.0	0.0	86.0	0.0	76.0	0.0	93.0	0.0	
21-Jul	91	0.0	89.0	0.0	91.0	0.0	90.0	0.0	93.0	0.0	84.0	0.0	95.0	0.0	89.0	0.0	89.0	0.0	90.0	0.0	93.0	0.0	86.0	0.0	95.0	0.0	86.0	0.0	94.0	0.0	92.0	0.0	90.0	0.0	87.0	0.0	82.0	0.0	93.0	0.0	
22-Jul	95	0.0	84.0	0.0	89.0	0.0	91.0	0.0	96.0	0.0	87.0	0.0	91.0	0.0	86.0	0.0	89.0	0.0	91.0	0.0	91.0	0.0	79.0	0.0	92.0	0.0	84.0	0.0	95.0	0.0	94.0	0.0	95.0	0.0	85.0	0.0	83.0	0.0	92.0	0.0	
23-Jul	91	0.0	87.0	0.0	91.0	0.0	93.0	0.0	87.0	0.0	90.0	0.0	89.0	0.0	81.0	0.0	93.0	0.0	91.0	0.0	86.0	0.0	82.0	0.0	87.0	0.0	87.0	0.0	97.0	0.0	92.0	0.0	97.0	0.0	84.0	0.0	88.0	0.0	88.0	0.0	
24-Jul	93	0.0	88.0	0.0	91.0	0.0	93.0	0.0	82.0	0.0	84.0	0.0	87.0	0.0	82.0	0.0	95.0	0.0	90.0	0.0	87.0	0.0	87.0	0.0	88.0	0.0	88.0	0.0	94.0	0.0	92.0	0.0	97.0	0.0	86.0	0.0	87.0	0.0	91.0	0.0	
25-Jul	84	0.0	89.0	0.0	86.0	0.0	91.0	0.0	75.0	1.0	82.0	0.0	84.0	0.0	84.0	0.0	89.0	0.0	92.0	0.0	88.0	0.0	87.0	0.0	89.0	0.0	90.0	0.0	95.0	0.0	90.0	0.0	98.0	0.0	89.0	0.0	88.0	0.0	90.0	0.0	
26-Jul	84	0.0	89.0	0.0	88.0	0.0	93.0	0.0	82.0	0.0	88.0	0.0	86.0	0.0	87.0	0.0	87.0	0.0	94.0	0.0	93.0	0.0	87.0	0.0	87.0	0.0	92.0	0.0	95.0	0.0	94.0	0.0	98.0	0.0	86.0	0.0	89.0	0.0	91.0	0.0	
27-Jul	82	0.0	91.0	0.0	80.0	0.0	93.0	0.0	88.0	0.0	90.0	0.0	89.0	0.0	87.0	0.0	84.0	0.0	92.0	0.0	95.0	0.0	90.0	0.0	90.0	0.0	90.0	0.0	93.0	0.0	94.0	0.0	97.0	0.0	82.0	0.0	92.0	0.0	92.0	0.0	
28-Jul	79	0.0	91.0	0.0	88.0	0.0	93.0	0.0	91.0	0.0	84.0	0.0	91.0	0.0	89.0	0.0	89.0	0.0	90.0	0.0	96.0	0.0	89.0	0.0	93.0	0.0	89.0	0.0	90.0	0.0	90.0	0.0	97.0	0.0	86.0	0.0	90.0	0.0	94.0	0.0	
29-Jul	90	0.0	89.0	0.0	89.0	0.0	93.0	0.0	89.0	0.0	89.0	0.0	91.0	0.0	88.0	0.0	87.0	0.0	83.0	0.0	91.0	0.0	87.0	0.0	92.0	0.0	85.0	0.0	94.0	0.0	93.0	0.0	94.0	0.0	86.0	0.0	82.0	0.0	93.0	0.0	
30-Jul	91	0.0	88.0	0.0	90.0	0.0	97.0	0.0	87.0	0.0	89.0	0.0	88.0	0.0	84.0	0.0	89.0	0.0	78.0	0.0	91.0	0.0	92.0	0.0	90.0	0.0	82.0	0.0	95.0	0.0	96.0	0.0	96.0	0.0	90.0	0.0	84.0	0.0	94.0	0.0	
31-Jul	87	0.0	72.0	1.7	86.0	0.0	99.0	0.0	86.0	0.0	87.0	0.0	90.0	0.0	88.0	0.0	90.0	0.0	84.0	0.0	94.0	0.0	90.0	0.0	88.0	0.0	85.0	0.0	95.0	0.0	96.0	0.0	88.0	0.0	80.0	0.0	85.0	0.0	93.0	0.0	
1-Aug	86	0.0	80.0	0.0	86.0	0.0	96.0	0.0	86.0	0.0	84.0	0.0	93.0	0.0	84.0	0.0	91.0	0.0	82.0	0.0	95.0	0.0	92.0	0.0	89.0	0.0	89.0	0.0	96.0	0.0	91.0	0.0	94.0	0.0	87.0	0.0	81.0	0.0	89.0	0.0	9.0
2-Aug	90	0.0	84.0	0.0	82.0	0.0	93.0	0.0	81.0	0.0	84.0	0.0	91.0	0.0	84.0	0.0	90.0	0.0	86.0	0.0	95.0	0.0	92.0	0.0	92.0	0.0	83.0	0.0	84.0	0.0	96.0	0.0	99.0	0.0	89.0	0.0	84.0	0.0	94.0	0.0	9.0
3-Aug	84	0.0	88.0	0.0	84.0	0.0	88.0	0.0	84.0	0.0	84.0	0.0	91.0	0.0	84.0	0.0	91.0	0.0	88.0	0.0	97.0	0.0	94.0	0.0	91.0	0.0	90.0	0.0	92.0	0.0	97.0	0.0	94.0	0.0	88.0	0.0	88.0	0.0	94.0	0.0	9.0
4-Aug	91	0.0	89.0	0.0	86.0	0.0	89.0	0.0	88.0	0.0	86.0	0.0	91.0	0.0	82.0	0.0	91.0	0.0	91.0	0.0	98.0	0.0	97.0	0.0	91.0	0.0	92.0	0.0	95.0	0.0	85.0	0.0	87.0	0.0	90.0	0.0	90.0	0.0	97.0	0.0	9.0
5-Aug	93	0.0	88.0	0.0	90.0	0.0	91.0	0.0	91.0	0.0	88.0	0.0	93.0	0.0	84.0	0.0	90.0	0.0	88.0	0.0	96.0	0.0	96.0	0.0	92.0	0.0	92.0	0.0	93.0	0.0	96.0	0.0	90.0	0.0	88.0	0.0	89.0	0.0	95.0	0.0	9.0
6-Aug	88	0.0	84.0	0.0	89.0	0.0	93.0	0.0	91.0	0.0	84.0	0.0	97.0	0.0	82.0	0.0	84.0	0.0	86.0	0.0	89.0	0.0	98.0	0.0	94.0	0.0	89.0	0.0	93.0	0.0	93.0	0.0	86.0	0.0	88.0	0.0	92.0	0.0	88.0	0.0	9.0
7-Aug	91	0.0	84.0	0.0	89.0	0.0	93.0	0.0	91.0	0.0	86.0	0.0	87.0	0.0	84.0	0.0	81.0	0.0	80.0	0.0	97.0	0.0	98.0	0.0	90.0	0.0	91.0	0.0	91.0	0.0	93.0	0.0	84.0	0.0	86.0	0.0	95.0	0.0	88.0	0.0	9.0
8-Aug	84	0.0	80.0	0.0	86.0	0.0	93.0	0.0	91.0	0.0	88.0	0.0	87.0	0.0	84.0	0.0	82.0	0.0	82.0	0.0	96.0	0.0	100.0	0.0	86.0	0.0	92.0	0.0	93.0	0.0	94.0	0.0	92.0	0.0	83.0	0.0	90.0	0.0	92.0	0.0	9.0
9-Aug	90	0.0	73.0	0.7	82.0	0.0	91.0	0.0	96.0	0.0	87.0	0.0	86.0	0.0	86.0	0.0	84.0	0.0	85.0	0.0	95.0	0.0	103.0	0.0	85.0	0.0	93.0	0.0	94.0	0.0	91.0	0.0	88.0	0.0	89.0	0.0	89.0	0.0	93.0	0.0	9.0
10-Aug	89	0.0	80.0	0.0	87.0	0.0	90.0	0.0	95.0	0.0	88.0	0.0	88.0	0.0	87.0	0.0	75.0	0.0	83.0	0.0	96.0	0.0	103.0	0.0	85.0	0.0	93.0	0.0	94.0	0.0	95.0	0.0	87.0	0.0	90.0	0.0	86.0	0.0	94.0	0.0	9.0
11-Aug	88	0.0	86.0	0.0	88.0	0.0	96.0	0.0	89.0	0.0	86.0	0.0	89.0	0.0	84.0	0.0	82.0	0.0	87.0	0.0	88.0	0.0	100.0	0.0	88.0	0.0	95.0	0.0	95.0	0.0	94.0	0.0	85.0	0.0	90.0	0.0	83.0	0.0	91.0	0.0	9.0
12-Aug	86	0.0	88.0	0.0	84.0	0.0	98.0	0.0	89.0	0.0	86.0	0.0	91.0	0.0	81.0	0.0	80.0	0.0	88.0	0.0	84.0	0.0	90.0	0.0	81.0	0.0	86.0	0.0	95.0	0.0	95.0	0.0	88.0	0.0	90.0	0.0	88.0	0.0	90.0	0.0	9.0
13-Aug	84	0.0	88.0	0.0	86.0	0.0	97.0	0.0	89.0	0.0	81.0	0.0	91.0	0.0	87.0	0.0	77.0	0.0	86.0	0.0	81.0	0.0	100.0	0.0	81.0	0.0	90.0	0.0	96.0	0.0	95.0	0.0	91.0	0.0	89.0	0.0	84.0	0.0	89.0	0.0	9.0
14-Aug	86	0.0	87.0	0.0	80.0	0.0	98.0	0.0	89.0	0.0	87.0	0.0	89.0	0.0	89.0	0.0	82.0	0.0	90.0	0.0	87.0	0.0	99.0	0.0	84.0	0.0	90.0	0.0	89.0	0.0	94.0	0.0	88.0	0.0	83.0	0.0	85.0	0.0	90.0	0.0	9.0
15-Aug	89	0.0	88.0	0.0	82.0	0.0	93.0	0.0	94.0	0.0	84.0	0.0	88.0	0.0	90.0	0.0	82.0	0.0	92.0	0.0	86.0	0.0	102.0	0.0	87.0	0.0	90.0	0.0	90.0	0.0	88.0	0.0	85.0	0.0	73.0	0.7	87.0	0.0	90.0	0.0	9.0
16-Aug	90	0.0	91.0	0.0	86.0	0.0	93.0	0.0	97.0	0.0	90.0	0.0	90.0	0.0	86.0	0.0	84.0	0.0	89.0	0.0	89.0	0.0	101.0	0.0	86.0	0.0	88.0	0.0	90.0	0.0	90.0	0.0	91.0	0.0	67.0	7.3	88.0	0.0	90.0	0.0	9.0
17-Aug	91	0.0	91.0	0.0	84.0	0.0	96.0	0.0	99.0	0.0	91.0	0.0	91.0	0.0	89.0	0.0	86.0	0.0	90.0	0.0	86.0	0.0	101.0	0.0	85.0	0.0	87.0	0.0	91.0	0.0	92.0	0.0	87.0	0.0	66.0	15.0	89.0	0.0	89.0	0.0	9.0
18-Aug	91	0.0	89.0	0.0	87.0	0.0	98.0	0.0	101.0	0.0	91.0	0.0	93.0	0.0	90.0	0.0	86.0	0.0	90.0	0.0	88.0	0.0	97.0	0.0	86.0	0.0	88.0	0.0	93.0	0.0	94.0	0.0	87.0	0.0	77.0	11.7	89.0	0.0	88.0	0.0	9.0
19-Aug	90	0.0	89.0	0.0	90.0	0.0	98.0	0.0	101.0	0.0	87.0	0.0	91.0	0.0	90.0	0.0	89.0	0.0	89.0	0.0	88.0	0.0	95.0	0.0	90.0	0.0	90.0	0.0	92.0	0.0	96.0	0.0	84.0	0.0	82.0	3.3	86.0	0.0	89.0	0.0	9.0
20-Aug	89	0.0	88.0	0.0	79.0	0.0	89.0	0.0	97.0	0.0	86.0	0.0	93.0	0.0	87.0	0.0	88.0	0.0	92.0	0.0	93.0	0.0	96.0	0.0	90.0	0.0	88.0	0.0	93.0	0.0	93.0	0.0	84.0	0.0	84.0	0.0	89.0	0.0	88.0	0.0	9.0
21-Aug	90	0.0	82.0	0.0	84.0	0.0	91.0	0.0	87.0	0.0	88.0	0.0	93.0	0.0	88.0	0.0	82.0	0.0	94.0	0.0	91.0	0.0	99.0	0.0	85.0	0.0	88.0	0.0	93.0	0.0	94.0	0.0	88.0	0.0	84.0	0.0	92.0	0.0	89.0	0.0	9.0
22-Aug	91	0.0	79.0	0.0	87.0	0.0	91.0	0.0	86.0	0.0	90.0	0.0	91.0	0.0	88.0	0.0	84.0	0.0	93.0	0.0	88.0	0.0	104.0	0.0	82.0	0.0	85.0	0.0	94.0	0.0	98.0	0.0	84.0	0.0	88.0	0.0	93.0	0.0	92.0	0.0	9.0
23-Aug	91	0.0	81.0	0.0	87.0	0.0	90.0	0.0	88.0	0.0	88.0	0.0	95.0	0.0	90.0	0.0	84.0	0.0	87.0	0.0	87.0	0.0	98.0	0.0	78.0	0.0	81.0	0.0	93.0	0.0	92.0	0.0	88.0	0.0	90.0	0.0	93.0	0.0	87.0	0.0	9.0
24-Aug	91	0.0	82.0	0.0	88.0	0.0	80.0	0.0	92.0	0.0	93.0	0.0	93.0	0.0	89.0	0.0	87.0	0.0	85.0	0.0	83.0	0.0	95.0	0.0	83.0	0.0	86.0	0.0	90.0	0.0	93.0	0.0	86.0	0.0	84.0	0.0	88.0	0.0	89.0	0.0	9.0
25-Aug	84	0.0	84.0	0.0	90.0	0.0	82.0	0.0	92.0	0.0	90.0	0.0	91.0	0.0	88.0	0.0	82.0	0.0	84.0	0.0	85.0	0.0	94.0	0.0	78.0	0.0	87.0	0.0	89.0	0.0	95.0	0.0	85.0	0.0	82.0	0.0	84.0	0.0	84.0	0.0	9.0
26-Aug	88	0.0	87.0	0.0	91.0	0.0	89.0	0.0	90.0	0.0	91.0	0.0	88.0	0.0	89.0	0.0	86.0	0.0	84.0	0.0	88.0	0.0	92.0	0.0	83.0	0.0	90.0	0.0	90.0	0.0	99.0	0.0	90.0	0.0	82.0	0.0	86.0	0.0	86.0	0.0	9.0
27-Aug	84	0.0	90.0	0.0	89.0	0.0	88.0	0.0	90.0	0.0	91.0	0.0	84.0	0.0	90.0	0.0	88.0	0.0	86.0	0.0	88.0	0.0	88.0	0.0	80.0	0.0	83.0	0.0	89.0	0.0	95.0	0.0	90.0	0.0	86.0	0.0	88.0	0.0	85.0	0.0	9.0
28-Aug	86	0.0	90.0	0.0	90.0	0.0	90.0	0.0	92.0	0.0	81.0	0.0	82.0	0.0	91.0	0.0	90.0	0.0	86.0	0.0	90.0	0.0	88.0	0.0	86.0	0.0	75.0	0.0	87.0	0.0	95.0	0.0	80.0	0.0	90.0	0.0	91.0	0.0	83.0	0.0	9.0
29-Aug	88	0.0	91.0	0.0	93.0	0.0	91.0	0.0	92.0	0.0	86.0	0.0	82.0	0.0	89.0	0.0	87.0	0.0	85.0	0.0	90.0	0.0	89.0	0.0	89.0	0.0	86.0	0.0	84.0	0.0	93.0	0.0	86.0	0.0	92.0	0.0	92.0	0.0	81.0	0.0	9.0
30-Aug	84	0.0	91.0	0.0	93.0	0.0	91.0	0.0	88.0	0.0	81.0	0.0	78.0	0.0	88.0	0.0	88.0	0.0	85.0	0.0	88.0	0.0	89.0	0.0	89.0	0.0	79.0	0.0	85.0	0.0	90.0	0.0	80.0	0.0	87.0	0.0	88.0	0.0	74.0	1.3	9.0
31-Aug	82	0.0	88.0	0.0	91.0	0.0	84.0	0.0	87.0	0.0	82.0	0.0	77.0	0.0	89.0	0.0	87.0	0.0	85.0	0.0	80.0	0.0	86.0	0.0	88.0	0.0	79.0	0.0	89.0	0.0	92.0	0.0	89.0	0.0	90.0	0.0	89.0	0.0	84.0	0.0	9.0
1-Sep	80	0.0	88.0	0.0	87.0	0.0	88.0	0.0	79.0	0.0	80.0	0.0	84.0	0.0	88.0	0.0	82.0	0.0	85.0	0.0	85.0	0.0	84.0	0.0	81.0	0.0	71.0	2.0	90.0	0.0	95.0	0.0	91.0	0.0	90.0	0.0	90.0	0.0	87.0	0.0	9.0
2-Sep	73	2.7	91.0	0.0	84.0	0.0	91.0	0.0	81.0	0.0	75.0	0.0	84.0	0.0	86.0	0.0	80.0	0.0	88.0	0.0	86.0	0.0	83.0	0.0	85.0	0.0	78.0	0.0	91.0	0.0	96.0	0.0	89.0	0.0	84.0	0.0	90.0	0.0	90.0	0.0	9.0
3-Sep	87	0.0	93.0	0.0	77.0	0.0	84.0	0.0	82.0	0.0	73.0	0.6	89.0	0.0	87.0	0.0	81.0	0.0	87.0	0.0	85.0	0.0	88.0	0.0	83.0	0.0	79.0	0.0	92.0	0.0	95.0	0.0	85.0	0.0	90.0	0.0	92.0	0.0	89.0	0.0	9.0
4-Sep	84	0.0	81.0	0.0	90.0	0.0	93.0	0.0	87.0	0.0	81.0	0.0	95.0	0.0	87.0	0.0	82.0	0.0	85.0	0.0	88.0	0.0	91.0	0.0	85.0	0.0	83.0	0.0	84.0	0.0	80.0	0.0	77.0	0.0	89.0	0.0	82.0	0.0	92.0	0.0	9.0
5-Sep	87	0.0	81.0	0.0	91.0	0.0	96.0	0.0	81.0	0.0	90.0	0.0	93.0	0.0	84.0	0.0	84.0	0.0	81.0	0.0	83.0	0.0	89.0	0.0	88.0	0.0	83.0	0.0	85.0	0.0	78.0	0.0	85.0	0.0	89.0	0.0	89.0	0.0	87.0	0.0	9.0
6-Sep	89	0.0	82.0	0.0	89.0	0.0	96.0	0.0	66.0	10.0	88.0	0.0	91.0	0.0	73.0	0.5	81.0	0.0	81.0	0.0	85.0	0.0	85.0	0.0	87.0	0.0	85.0	0.0	90.0	0.0	75.0	2.3	85.0	0.0	88.0	0.0	91.0	0.0	85.0	0.0	9.0
7-Sep	89	0.0	86.0	0.0	90.0	0.0	91.0	0.0	66.0	20.1	87.0	0.0	88.0	0.0	75.0	0.0	86.0	0.0	83.0	0.0	80.0	0.0	86.0	0.0	89.0	0.0	84.0	0.0	91.0	0.0	69.0	10.6	92.0	0.0	88.0	0.0	90.0	0.0	85.0	0.0	9.0
8-Sep	89	0.0	88.0	0.0	89.0	0.0	91.0	0.0	75.0	21.1	86.0	0.0	87.0	0.0	81.0	0.0	73.0	0.8	85.0	0.0	83.0	0.0	88.0	0.0	90.0	0.0	87.0	0.0	93.0	0.0	73.0	14.8	88.0	0.0	91.0	0.0	84.0	0.0	84.0	0.0	9.0
9-Sep	91	0.0	84.0	0.0	79.0	0.0	77.0	0.0	80.0	17.1	86.0	0.0	91.0	0.0	82.0	0.0	84.0	0.0	86.0	0.0	83.0	0.0	89.0	0.0	88.0	0.0	84.0	0.0	92.0	0.0	81.0	11.1	83.0	0.0	90.0	0.0	84.0	0.0	87.0	0.0	9.0
10-Sep	84	0.0	80.0	0.0	78.0	0.0	87.0	0.0	82.0	11.2	89.0	0.0	95.0	0.0	79.0	0.0	84.0	0.0	84.0	0.0	85.0	0.0	89.0	0.0	87.0	0.0	80.0	0.0	94.0	0.0	84.0	4.4	84.0	0.0	89.0	0.0	86.0	0.0	85.0	0.0	9.0
11-Sep	86	0.0	82.0	0.0	81.0	0.0	87.0	0.0	84.0	3.2	87.0	0.0	95.0	0.0	80.0	0.0	84.0	0.0	84.0	0.0	84.0	0.0	89.0	0.0	83.0	0.0	75.0	0.0	96.0	0.0	86.0	0.0	83.0	0.0	89.0	0.0	90.0	0.0	86.0	0.0	9.0
12-Sep	88	0.0	86.0	0.0	84.0	0.0	87.0	0.0	86.0	0.0	84.0	0.0	90.0	0.0	81.0	0.0	81.0	0.0	86.0	0.0	82.0	0.0	86.0	0.0	87.0	0.0	81.0	0.0	89.0	0.0	87.0	0.0	81.0	0.0	90.0	0.0	92.0	0.0	78.0	0.0	9.0
13-Sep	78	0.0	87.0	0.0	89.0	0.0	86.0	0.0	87.0	0.0	84.0	0.0	75.0	0.6	84.0	0.0	79.0	0.0	88.0	0.0	70.0	5.0	85.0	0.0	86.0	0.0	80.0	0.0	86.0	0.0	89.0	0.0	81.0	0.0	87.0	0.0	86.0	0.0	75.0	0.3	9.0
14-Sep	79	0.0	87.0	0.0	87.0	0.0	87.0	0.0	86.0	0.0	86.0	0.0	78.0	0.0	82.0	0.0	79.0	0.0	88.0	0.0	80.0	0.1	81.0	0.0	88.0	0.0	82.0	0.0	91.0	0.0	92.0	0.0	83.0	0.0	82.0	0.0	78.0	0.0	77.0	0.0	9.0
15-Sep	86	0.0	88.0	0.0	87.0	0.0	89.0	0.0	80.0	0.0	77.0	0.0	91.0	0.0	82.0	0.0	73.0	0.8	91.0	0.0	82.0	0.0	82.0	0.0	79.0	0.0	79.0	0.0	91.0	0.0	86.0	0.0	87.0	0.0	84.0	0.0	80.0	0.0	80.0	0.0	9.0
16-Sep	82	0.0	88.0	0.0	88.0	0.0	81.0	0.0	75.0	1.0	77.0	0.0	88.0	0.0	81.0	0.0	75.0	0.0	88.0	0.0	83.0	0.0	76.0	1.4	80.0	0.0	82.0	0.0	89.0	0.0	72.0	5.3	86.0	0.0	89.0	0.0	86.0	0.0	79.0	0.0	9.0
17-Sep	82	0.0	90.0	0.0	87.0	0.0	81.0	0.0	73.0	4.1	81.0	0.0	86.0	0.0	81.0	0.0	80.0	0.0	86.0	0.0	85.0	0.0	78.0	0.8	69.0	5.5	73.0	0.0	95.0	0.0	79.0	3.6	83.0	0.0	79.0	0.0	86.0	0.0	83.0	0.0	9.0
18-Sep	78	0.0	88.0	0.0	82.0	0.0	82.0	0.0	73.0	7.1	81.0	0.0	81.0	0.0	81.0	0.0	79.0	0.0	88.0	0.0	85.0	0.0	79.0	0.0	82.0	0.0	80.0	0.0	93.0	0.0	77.0	3.8	79.0	0.0	78.0	0.0	85.0	0.0	83.0	0.0	9.0
19-Sep	79	0.0	91.0	0.0	80.0	0.0	79.0	0.0	84.0	0.0	82.0	0.0	80.0	0.0	84.0	0.0	78.0	0.0	90.0	0.0	79.0	0.0	82.0	0.0	81.0	0.0	74.0	0.0	92.0	0.0	77.0	4.1	81.0	0.0	84.0	0.0	84.0	0.0	87.0	0.0	9.0
20-Sep	79	0.0	95.0	0.0	82.0	0.0	68.0	7.4	87.0	0.0	84.0	0.0	86.0	0.0	87.0	0.0	73.0	0.8	90.0	0.0	73.0	2.0	81.0	0.0	79.0	0.0	81.0	0.0	96.0	0.0	82.0	0.0	79.0	0.0	86.0	0.0	83.0	0.0	89.0	0.0	9.0
